;n_nodes;n_edges;n_node_attrs;n_edge_attrs;hidden_dim;batch_size;proc_time
55;50;50;50;5;64;16;0.0903636000584811
56;50;50;50;5;64;64;0.23340249992907047
57;50;50;50;5;256;1;0.04390399996191263
58;50;50;50;5;256;16;0.09998099994845688
59;50;50;50;5;256;64;0.24436859996058047
60;50;50;50;5;512;1;0.05470259999856353
61;50;50;50;5;512;16;0.11079810000956059
62;50;50;50;5;512;64;0.26203690003603697
63;50;50;50;10;64;1;0.03798809996806085
64;50;50;50;10;64;16;0.08663439995143563
65;50;50;50;10;64;64;0.23109480005223304
66;50;50;50;10;256;1;0.045949499937705696
67;50;50;50;10;256;16;0.0965403999434784
68;50;50;50;10;256;64;0.2445084999781102
69;50;50;50;10;512;1;0.058863299898803234
70;50;50;50;10;512;16;0.11059860000386834
71;50;50;50;10;512;64;0.2692811000160873
72;50;50;50;50;64;1;0.0590235999552533
73;50;50;50;50;64;16;0.10296869999729097
74;50;50;50;50;64;64;0.2887620000401512
75;50;50;50;50;256;1;0.05512280005495995
76;50;50;50;50;256;16;0.10113990004174411
77;50;50;50;50;256;64;0.2552066999487579
78;50;50;50;50;512;1;0.052199300029315054
79;50;50;50;50;512;16;0.10558089998085052
80;50;50;50;50;512;64;0.264495600014925
81;50;300;5;5;64;1;0.039629100007005036
82;50;300;5;5;64;16;0.08761930000036955
83;50;300;5;5;64;64;0.23564069997519255
84;50;300;5;5;256;1;0.05282919993624091
85;50;300;5;5;256;16;0.10106460005044937
86;50;300;5;5;256;64;0.24320479994639754
87;50;300;5;5;512;1;0.06022470002062619
88;50;300;5;5;512;16;0.10924150003120303
89;50;300;5;5;512;64;0.28314099996350706
90;50;300;5;10;64;1;0.04281390004325658
91;50;300;5;10;64;16;0.0948045999975875
92;50;300;5;10;64;64;0.23877460008952767
93;50;300;5;10;256;1;0.04712709994055331
94;50;300;5;10;256;16;0.09258090006187558
95;50;300;5;10;256;64;0.2440600999398157
96;50;300;5;10;512;1;0.0546053999569267
97;50;300;5;10;512;16;0.10630069999024272
98;50;300;5;10;512;64;0.2619357999647036
99;50;300;5;50;64;1;0.04341690009459853
100;50;300;5;50;64;16;0.0867127999663353
101;50;300;5;50;64;64;0.22162620001472533
