Algorithm;TryNr;InstanceNr;FitnessWorkload;FitnessDeadline;RandomSeed;BestChromosome
nsga2;0;2;0.43192759572723766;-1184.0;469006;"['job3' 'job45' 'job36' 'job43' 'job4' 'job31' 'job18' 'job25' 'job48'
 'job38' 'job5' 'job42' 'job51' 'job10' 'job2' 'job1' 'job46' 'job0'
 'job17' 'job20' 'job9' 'job41' 'job30' 'job50' 'job27' 'job22' 'job40'
 'job23' 'job11' 'job26' 'job39' 'job52' 'job47' 'job14' 'job21' 'job16'
 'job44' 'job24' 'job49' 'job6' 'job7' 'job19' 'job34' 'job29' 'job33'
 'job13' 'job35' 'job37' 'job8' 'job15' 'job28' 'job32' 'job12']"
nsga2;1;2;0.37242600429205247;-1136.0;340444;"['job22' 'job48' 'job10' 'job38' 'job8' 'job41' 'job39' 'job34' 'job4'
 'job18' 'job40' 'job46' 'job23' 'job44' 'job50' 'job37' 'job16' 'job20'
 'job15' 'job31' 'job0' 'job6' 'job30' 'job26' 'job43' 'job42' 'job13'
 'job52' 'job47' 'job33' 'job17' 'job32' 'job9' 'job27' 'job45' 'job19'
 'job35' 'job21' 'job5' 'job7' 'job12' 'job1' 'job11' 'job25' 'job2'
 'job29' 'job3' 'job51' 'job24' 'job36' 'job28' 'job49' 'job14']"
nsga2;2;2;0.35355990186149694;-1150.0;182743;"['job37' 'job8' 'job21' 'job6' 'job45' 'job18' 'job7' 'job32' 'job14'
 'job50' 'job24' 'job39' 'job26' 'job30' 'job12' 'job11' 'job20' 'job15'
 'job16' 'job5' 'job49' 'job38' 'job22' 'job43' 'job4' 'job48' 'job13'
 'job36' 'job46' 'job23' 'job17' 'job42' 'job28' 'job1' 'job52' 'job34'
 'job10' 'job3' 'job31' 'job41' 'job0' 'job9' 'job47' 'job27' 'job25'
 'job33' 'job2' 'job29' 'job40' 'job44' 'job51' 'job35' 'job19']"
nsga2;3;2;0.42851019965277787;-1183.0;455776;"['job38' 'job20' 'job46' 'job32' 'job0' 'job1' 'job52' 'job47' 'job45'
 'job18' 'job23' 'job17' 'job43' 'job31' 'job28' 'job19' 'job8' 'job6'
 'job41' 'job40' 'job13' 'job51' 'job2' 'job14' 'job49' 'job26' 'job39'
 'job29' 'job11' 'job4' 'job36' 'job44' 'job7' 'job25' 'job16' 'job15'
 'job48' 'job22' 'job27' 'job33' 'job50' 'job3' 'job24' 'job5' 'job9'
 'job35' 'job30' 'job12' 'job34' 'job21' 'job10' 'job37' 'job42']"
nsga2;4;2;0.44323486328125;-1179.0;138330;"['job28' 'job30' 'job17' 'job41' 'job31' 'job34' 'job23' 'job16' 'job0'
 'job44' 'job49' 'job47' 'job39' 'job22' 'job51' 'job15' 'job48' 'job46'
 'job9' 'job29' 'job37' 'job14' 'job24' 'job2' 'job21' 'job10' 'job8'
 'job12' 'job33' 'job20' 'job32' 'job25' 'job6' 'job5' 'job38' 'job35'
 'job13' 'job26' 'job1' 'job27' 'job52' 'job3' 'job50' 'job19' 'job18'
 'job7' 'job11' 'job45' 'job4' 'job40' 'job43' 'job36' 'job42']"
nsga2;5;2;0.4490772087191358;-1182.0;195504;"['job22' 'job43' 'job48' 'job15' 'job3' 'job7' 'job42' 'job16' 'job17'
 'job26' 'job44' 'job25' 'job9' 'job38' 'job33' 'job5' 'job34' 'job12'
 'job11' 'job2' 'job13' 'job6' 'job24' 'job10' 'job47' 'job19' 'job21'
 'job51' 'job41' 'job23' 'job40' 'job46' 'job14' 'job4' 'job18' 'job36'
 'job37' 'job20' 'job28' 'job27' 'job49' 'job1' 'job8' 'job45' 'job39'
 'job30' 'job50' 'job32' 'job0' 'job52' 'job31' 'job29' 'job35']"
nsga2;6;2;0.4820433364679784;-1143.0;205530;"['job13' 'job6' 'job51' 'job0' 'job48' 'job46' 'job25' 'job37' 'job15'
 'job36' 'job43' 'job39' 'job12' 'job34' 'job11' 'job23' 'job9' 'job44'
 'job17' 'job40' 'job2' 'job24' 'job30' 'job45' 'job3' 'job10' 'job5'
 'job29' 'job32' 'job41' 'job31' 'job47' 'job21' 'job1' 'job50' 'job22'
 'job33' 'job28' 'job38' 'job52' 'job18' 'job42' 'job19' 'job27' 'job16'
 'job20' 'job14' 'job8' 'job26' 'job4' 'job49' 'job7' 'job35']"
nsga2;7;2;0.39903371551890426;-1168.0;168902;"['job25' 'job19' 'job27' 'job21' 'job32' 'job36' 'job18' 'job4' 'job2'
 'job50' 'job39' 'job24' 'job40' 'job6' 'job7' 'job8' 'job0' 'job22'
 'job42' 'job9' 'job52' 'job43' 'job37' 'job20' 'job47' 'job30' 'job51'
 'job17' 'job14' 'job5' 'job1' 'job44' 'job35' 'job28' 'job29' 'job10'
 'job13' 'job33' 'job12' 'job31' 'job26' 'job49' 'job41' 'job45' 'job34'
 'job46' 'job3' 'job48' 'job15' 'job38' 'job23' 'job16' 'job11']"
nsga2;8;2;0.447532341097608;-1179.0;313060;"['job22' 'job28' 'job30' 'job24' 'job15' 'job8' 'job44' 'job14' 'job13'
 'job25' 'job23' 'job47' 'job0' 'job48' 'job37' 'job16' 'job51' 'job38'
 'job33' 'job20' 'job36' 'job3' 'job46' 'job5' 'job10' 'job6' 'job4'
 'job32' 'job29' 'job9' 'job7' 'job43' 'job1' 'job21' 'job50' 'job12'
 'job19' 'job18' 'job34' 'job17' 'job40' 'job2' 'job27' 'job11' 'job35'
 'job45' 'job42' 'job52' 'job26' 'job31' 'job41' 'job49' 'job39']"
nsga2;9;2;0.42643316575038587;-1150.0;438613;"['job52' 'job17' 'job16' 'job6' 'job51' 'job19' 'job33' 'job18' 'job39'
 'job43' 'job31' 'job4' 'job36' 'job34' 'job11' 'job32' 'job28' 'job37'
 'job24' 'job1' 'job49' 'job9' 'job50' 'job29' 'job12' 'job44' 'job30'
 'job47' 'job45' 'job7' 'job21' 'job10' 'job40' 'job20' 'job35' 'job2'
 'job48' 'job8' 'job5' 'job38' 'job14' 'job27' 'job15' 'job25' 'job41'
 'job46' 'job22' 'job3' 'job0' 'job26' 'job13' 'job23' 'job42']"
nsga2;0;3;0.46292561848958336;-1197.0;425428;"['job9' 'job14' 'job36' 'job25' 'job16' 'job20' 'job29' 'job43' 'job41'
 'job15' 'job34' 'job35' 'job8' 'job32' 'job0' 'job33' 'job10' 'job5'
 'job4' 'job40' 'job1' 'job11' 'job49' 'job7' 'job37' 'job31' 'job26'
 'job18' 'job45' 'job28' 'job21' 'job24' 'job3' 'job6' 'job30' 'job50'
 'job42' 'job47' 'job19' 'job38' 'job46' 'job23' 'job52' 'job12' 'job22'
 'job27' 'job2' 'job51' 'job48' 'job13' 'job44' 'job17' 'job39']"
nsga2;1;3;0.49571593484760806;-1189.0;383215;"['job51' 'job0' 'job36' 'job19' 'job8' 'job47' 'job12' 'job28' 'job45'
 'job2' 'job13' 'job20' 'job17' 'job5' 'job33' 'job46' 'job52' 'job26'
 'job37' 'job50' 'job7' 'job21' 'job1' 'job42' 'job29' 'job14' 'job40'
 'job9' 'job41' 'job23' 'job15' 'job43' 'job24' 'job31' 'job4' 'job6'
 'job48' 'job18' 'job11' 'job39' 'job16' 'job38' 'job27' 'job44' 'job34'
 'job10' 'job3' 'job35' 'job30' 'job32' 'job25' 'job49' 'job22']"
