;Unnamed: 0.4;Unnamed: 0.3;Unnamed: 0.2;Unnamed: 0.1;Unnamed: 0;AdaptationMode;Problem;Instance;TryNr;RDMSeed;MinValue
276;276.0;276.0;276.0;;;none;CEC;f9;6;160;1295.4182970228526
277;277.0;277.0;277.0;;;none;CEC;f9;7;161;1769.2848207218003
278;278.0;278.0;278.0;;;none;CEC;f9;8;162;1735.8456842310163
279;279.0;279.0;279.0;;;none;CEC;f9;9;163;1905.45151221232
280;280.0;280.0;280.0;;;none;CEC;f9;10;164;1350.3810337999853
281;281.0;281.0;281.0;;;none;CEC;f9;11;165;1062.8359244300827
282;282.0;282.0;282.0;;;none;CEC;f9;12;166;1458.585062874096
283;283.0;283.0;283.0;;;none;CEC;f9;13;167;2320.564792720696
284;284.0;284.0;284.0;;;none;CEC;f9;14;168;2066.2120251167885
285;285.0;285.0;285.0;;;none;CEC;f9;15;169;1073.878611618681
286;286.0;286.0;286.0;;;none;CEC;f9;16;170;1552.591771103996
287;287.0;287.0;287.0;;;none;CEC;f9;17;171;1581.7217785729235
288;288.0;288.0;288.0;;;none;CEC;f9;18;172;1101.126958935905
289;289.0;289.0;289.0;;;none;CEC;f9;19;173;1555.6227164480845
290;290.0;290.0;290.0;;;none;CEC;f9;20;174;1185.0154033725732
291;291.0;291.0;291.0;;;none;CEC;f9;21;175;1926.011703909488
292;292.0;292.0;292.0;;;none;CEC;f9;22;176;1138.8970006642985
293;293.0;293.0;293.0;;;none;CEC;f9;23;177;1827.960110839884
294;294.0;294.0;294.0;;;none;CEC;f9;24;178;1236.7290541897332
295;295.0;295.0;295.0;;;none;CEC;f9;25;179;1096.1115138080258
296;296.0;296.0;296.0;;;none;CEC;f9;26;180;1384.1716681480757
297;297.0;297.0;297.0;;;none;CEC;f9;27;181;1705.687128004577
298;298.0;298.0;298.0;;;none;CEC;f9;28;182;1429.5136410197474
299;299.0;299.0;299.0;;;none;CEC;f9;29;183;1327.6980053460588
300;300.0;300.0;300.0;;;imdc;CEC;f9;0;184;1233.6539135686633
301;301.0;301.0;301.0;;;imdc;CEC;f9;1;185;1527.031555612953
302;302.0;302.0;302.0;;;imdc;CEC;f9;2;186;2167.0222449589505
303;303.0;303.0;303.0;;;imdc;CEC;f9;3;187;1303.0611110534692
304;304.0;304.0;304.0;;;imdc;CEC;f9;4;188;1112.0625386880754
305;305.0;305.0;305.0;;;imdc;CEC;f9;5;189;1336.3997308272244
306;306.0;306.0;306.0;;;imdc;CEC;f9;6;190;1535.4140718363392
307;307.0;307.0;307.0;;;imdc;CEC;f9;7;191;1138.1401672459874
308;308.0;308.0;308.0;;;imdc;CEC;f9;8;192;1601.0109516082289
309;309.0;309.0;309.0;;;imdc;CEC;f9;9;193;1512.2506296859174
310;310.0;310.0;310.0;;;imdc;CEC;f9;10;194;1591.3718560803782
311;311.0;311.0;311.0;;;imdc;CEC;f9;11;195;1689.605089750248
312;312.0;312.0;312.0;;;imdc;CEC;f9;12;196;1376.1086207707312
313;313.0;313.0;313.0;;;imdc;CEC;f9;13;197;1792.145866265525
314;314.0;314.0;314.0;;;imdc;CEC;f9;14;198;1140.0122719197582
315;315.0;315.0;315.0;;;imdc;CEC;f9;15;199;1807.680202613079
316;316.0;316.0;316.0;;;imdc;CEC;f9;16;200;1604.1893260165975
317;317.0;317.0;317.0;;;imdc;CEC;f9;17;201;1831.9923812732327
318;318.0;318.0;318.0;;;imdc;CEC;f9;18;202;1408.3606491362184
319;319.0;319.0;319.0;;;imdc;CEC;f9;19;203;1355.987461775249
320;320.0;320.0;320.0;;;imdc;CEC;f9;20;204;1103.5902316839552
321;321.0;321.0;321.0;;;imdc;CEC;f9;21;205;1539.8390779921158
322;322.0;322.0;322.0;;;imdc;CEC;f9;22;206;1444.8184268885084
323;323.0;323.0;323.0;;;imdc;CEC;f9;23;207;1273.206849999536
324;324.0;324.0;324.0;;;imdc;CEC;f9;24;208;1889.697638524394
325;325.0;325.0;325.0;;;imdc;CEC;f9;25;209;1229.5884804161612
326;326.0;326.0;326.0;;;imdc;CEC;f9;26;210;1374.2229666713768
